Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,37.266040802002,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,98.5
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Algeria,DZA,..,..,..,..,..,..,..,81.4078369140625,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Angola,AGO,..,..,..,66.0301132202148,..,..,..,..,..,..,..,72.4000015258789
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Armenia,ARM,..,..,..,..,..,99.7444076538086,99.7360687255859,..,..,99.7886123657227,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Aruba,ABW,..,97.2912521362305,..,..,..,..,..,..,..,97.9899978637695,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Azerbaijan,AZE,..,..,99.7893600463867,99.7889862060547,99.7880630493164,99.7900619506836,99.7912292480469,..,99.7959823608398,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bangladesh,BGD,..,..,61.0155410766602,61.0932998657227,65.1373291015625,72.7587203979492,72.8929672241211,73.9122009277344,74.6844635009766,74.9088973999023,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Belarus,BLR,..,..,..,..,..,..,..,..,99.8740005493164,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,47.0999984741211
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bhutan,BTN,..,..,..,..,..,..,66.561149597168,..,..,..,..,72.0999984741211
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bolivia,BOL,..,..,..,..,92.455078125,..,..,..,..,93.8525619506836,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bosnia and Herzegovina,BIH,..,96.6631011962891,96.9917678833008,..,..,..,..,..,..,..,..,98.3000030517578
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Botswana,BWA,..,..,86.8231811523438,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Brazil,BRA,..,86.3678817749023,91.4842376708984,91.7294311523438,92.0478973388672,92.8084411621094,93.0758209228516,93.2275009155273,..,..,..,94.6900024414062
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,97.214111328125,..,..,97.5899963378906,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,98.4199981689453,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Burkina Faso,BFA,..,..,..,34.5993995666504,..,..,..,39.3458518981934,29.6632804870605,..,..,34.4900016784668
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Burundi,BDI,37.3847198486328,59.3036193847656,..,61.5134887695312,..,..,68.3753280639648,..,..,..,..,75.5400009155273
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Cabo Verde,CPV,62.7968597412109,76.1104431152344,..,..,86.7902908325195,..,..,..,..,..,..,91
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Cambodia,KHM,..,..,..,78.0550918579102,80.5264892578125,..,..,..,..,..,..,83.7799987792969
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Cameroon,CMR,..,68.4091567993164,..,..,..,..,..,77.0710372924805,..,78.2300033569336,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Cayman Islands,CYM,..,..,..,..,..,..,98.8678207397461,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Central African Republic,CAF,..,50.6451683044434,..,..,..,..,..,37.3958206176758,..,37.4900016784668,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Chad,TCD,..,25.6542091369629,..,..,26.0029907226562,22.3115501403809,..,..,..,..,..,27.2800006866455
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Chile,CHL,..,..,96.2670593261719,..,96.8741302490234,..,96.4022827148438,..,..,..,..,97.1600036621094
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,China,CHN,77.7850570678711,90.9202117919922,..,..,..,..,..,..,..,97.1500015258789,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Colombia,COL,..,..,..,94.1862487792969,94.2450485229492,94.6538467407227,..,95.0925064086914,95.249267578125,95.6363296508789,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Comoros,COM,..,68.4892272949219,..,..,..,..,..,..,..,..,..,61.7099990844727
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,"Congo, Dem. Rep.",COD,..,..,..,..,..,77.0426788330078,..,..,..,..,..,80.5400009155273
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,80.6100006103516,..
