Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Afghanistan,AFG,67.73049645,74.98909408,78.6364081,85.32354903,86.05011125,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Albania,ALB,86.40776699,96.14901632,100,100,100,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Algeria,DZA,0.838301043,0.212498032,0.551010185,0.395379969,0.322683799,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,American Samoa,ASM,0,0,0.703140481,0.700882475,0.885478158,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Andorra,AND,100,100,88.7532694,89.43217666,86.1167002,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Angola,AGO,86.20689655,63.11418685,58.02093476,53.17510549,53.17492831,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Argentina,ARG,35.4414663,33.15937465,31.48449072,31.5762042,28.14006912,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Armenia,ARM,15.00675545,21.16482041,28.23605707,25.75483871,28.33696628,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Aruba,ABW,0,0,14.91218619,15.09927995,14.85616144,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Australia,AUS,9.656030644,8.381618572,13.26410839,14.90671221,13.63784109,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Austria,AUT,66.20212593,72.54400909,78.02478699,81.05686835,76.49077927,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Azerbaijan,AZE,7.161368348,8.203647254,6.67123405,5.629246199,7.039857421,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,"Bahamas, The",BHS,0,0,0,0,0,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bangladesh,BGD,11.43300569,4.749223258,1.946536145,1.319724237,1.226889902,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Belarus,BLR,0.050599605,0.103444312,0.844256832,0.722614078,0.815679831,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Belgium,BEL,0.789563535,1.261280852,14.20938611,17.0806411,20.80002301,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Belize,BLZ,0,70.0729927,55.81301319,50.70547537,45.23993047,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Benin,BEN,0,2.380952381,0,0,5.555555556,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bhutan,BTN,99.55242967,100,99.99345562,99.99286108,99.99354643,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bolivia,BOL,52.44482908,51.52061856,32.17606944,28.00685323,31.40243902,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bosnia and Herzegovina,BIH,20.89939858,48.84456803,41.46467251,36.72648515,35.51730757,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Botswana,BWA,0,0,0.108342362,0.043233895,0.033704078,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Brazil,BRA,94.50051835,89.49270586,76.68920812,73.08207385,73.96690805,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,British Virgin Islands,VGB,0,0,1.020252779,1.286269818,1.286269818,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Brunei Darussalam,BRN,0,0,0.045433894,0.044385264,0.047619048,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bulgaria,BGR,4.456467573,6.57629287,16.07885022,15.74360176,17.988593,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Burkina Faso,BFA,4.891304348,25.17930328,14.43820994,10.39712793,9.354038684,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Burundi,BDI,98.18181818,98.01980198,87.02056925,80.71878883,82.70938513,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Cabo Verde,CPV,0,5.395437782,20.55760334,17.29165138,20.20849659,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Cambodia,KHM,0,0.223214286,57.93025872,61.13651208,46.41801228,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Cameroon,CMR,98.47979236,98.90804598,75.33575318,75.32509753,76.11719444,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Canada,CAN,62.37871882,60.60030119,63.29803306,62.82499222,63.01145004,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Cayman Islands,CYM,0,0,0,0,0,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Central African Republic,CAF,81.05263158,78.5046729,99.28057554,99.41520468,99.41520468,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Chad,TCD,0,0,0,0,0,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Channel Islands,CHI,0,0,0,0,0,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Chile,CHL,53.8373612,48.54783173,35.66687196,42.40700891,43.60433496,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,China,CHN,20.40793989,16.63949819,20.29622738,22.60915378,23.92681717,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Colombia,COL,76.38419011,75.52463768,73.99867546,74.03831068,68.23681122,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,"Congo, Dem. Rep.",COD,99.55752212,99.94984955,99.89101477,99.87556561,99.82106911,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,"Congo, Rep.",COG,99.39148073,99.66216216,56.81685196,54.71264368,53.34486736,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Costa Rica,CRI,97.52018454,99.14727562,88.31460674,89.79152393,99.00110988,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Cote d'Ivoire,CIV,66.66666667,36.75,21.88235294,23.93193338,16.72597865,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Croatia,HRV,45.55285809,57.30267247,66.50175665,73.95802322,66.82683752,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Cuba,CUB,10.25026624,6.872006386,4.352142111,4.017349995,3.948146688,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Curacao,CUW,0,0.713648528,3.539823009,3.591470258,3.712296984,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Cyprus,CYP,0,0,7.622377622,7.287356322,8.780057357,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Czechia,CZE,1.864431276,3.132586304,10.82341178,10.77841497,11.40457054,0,0,0,0,0,0,0
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Denmark,DNK,3.175275191,15.45502455,45.96033733,55.90044743,65.50592462,0,0,0,0,0,0,0
