Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,16.3972770341751,29.963328887049,48.3590282569032,50.160541526762,51.7509145546816,53.1042837649295,54.6485411587937,56.2482314520951,57.9082516903546,59.7522806371985,61.4805544056544,..
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,119.946788321168,112.738211678832,105.660291970803,105.441751824818,105.135145985401,104.967189781022,104.870693430657,104.612262773723,104.167554744526,103.571131386861,102.615547445255,..
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,10.7140468732943,12.9210665311915,15.9549850109584,16.2738871581281,16.6026255583626,16.9369083372205,17.2716286111714,17.6035123046545,17.9303156808402,18.2436570559099,18.5486033116111,..
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,239.09,291.15,264.975,261.085,256.84,252.24,247.315,242.12,236.605,230.945,225.175,..
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,113.976595744681,140.631914893617,151.844680851064,152.385106382979,152.651063829787,154.340425531915,157.1,159.602127659574,162.431914893617,165.31914893617,168.157446808511,..
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,9.48795861073233,13.1499655089436,20.9729702414374,21.7601163070506,22.5617397930537,23.385534611374,24.2308719018208,25.085050934467,25.9513820486083,26.8135766423358,27.6760840619235,..
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,143.927272727273,170.579545454545,201.129545454545,202.809090909091,204.411363636364,205.827272727273,207.088636363636,208.240909090909,209.356818181818,210.6,211.861363636364,..
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,11.9259605581926,13.5458433362931,15.421160233713,15.5916453818299,15.7606327351655,15.9281350828921,16.0941907925267,16.2585100979651,16.4208266190179,16.580892611147,16.7387416916056,..
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,..,111.29339655778,101.910256410256,101.507903055848,101.109764664559,100.661573586231,100.17291886196,99.6331928345627,99.0727783631893,98.5461187214612,98.0321039690903,..
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,365.066666666667,495.005555555556,571.555555555556,575.522222222222,579.205555555556,582.633333333333,585.772222222222,588.677777777778,591.344444444444,592.138888888889,591.872222222222,..
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,2.22135662496908,2.47696679379873,3.01057352615753,3.05581479504836,3.10011259648803,3.14493553058884,3.19715601363491,3.24534491589985,3.29365056253104,3.33452695130798,3.33922844714392,..
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,93.0422927775085,97.0863548230732,102.760821619001,103.567086766844,104.734597673291,105.873339796413,106.61131846825,107.131858943286,107.609306834707,108.057004362579,108.528805138148,..
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,..,97.434779976999,113.923480806688,115.348813858679,116.731076781631,118.033288980283,119.208741622511,120.25759188908,121.280071139933,122.124736829369,122.658802177858,..
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,27.0408591408591,32.4689310689311,38.5264735264735,38.8742257742258,39.2304695304695,39.558041958042,39.8621378621379,40.1504495504496,40.4152847152847,40.6064935064935,40.7498501498501,..
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,749.88115942029,1002.03098591549,1638.53636363636,1700.56290531777,1750.82519280206,1809.57766367137,1867.7358974359,1911.74807197943,1915.62564102564,1882.12611464968,1852.23417721519,..
