Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Afghanistan,AFG,..,..,0.211412619283081,0.216608987713022,0.232761963456803,0.284781431086284,0.229821540745866,0.237614661827017,0.269353221331058,0.237958189733028,0.3177320549902,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Albania,ALB,1.46665348283796,0.122940098630921,0.162355369581885,0.167721930626468,0.189123681705878,0.15451401733456,0.182975791053761,0.140223142354655,0.139876104069308,0.136466261169342,0.140408155076948,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Angola,AGO,1.11698635394765,1.7560305174638,0.3552910177304,0.358516878888424,0.554706545645646,1.03176263206502,0.813139211261651,0.617134019845992,0.636491008480499,0.87236870132827,0.739017315475802,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Armenia,ARM,..,0.0214355793156383,0.219209785594801,0.230507585774177,0.253862985088817,0.216780401516851,0.237460138229931,0.267995277542069,0.249911436603519,0.274493063786905,0.275814294335581,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Aruba,ABW,0.00156818469907334,0.000712418833286258,0.00260883523849379,0.00335880746579488,0.00249259859735073,0.00350250599236074,0.00299223668371317,0.00202016843979342,0.00176021957592569,0.00311858578657175,0.00212936341352684,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Australia,AUS,0.199974609552752,0.182847484601931,0,0,0,0,0,0,0,0.149635326557385,0.124411410868125,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Austria,AUT,0.0563535216634065,0.0109057554560766,0.0404650786468084,0.0403134117701216,0.0407159277667915,0.0348138024715943,0.0331755870463297,0.0450196188503379,0.0333158189096718,0.0227695688847169,0.0290717473889363,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Azerbaijan,AZE,..,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,"Bahamas, The",BHS,0.124302332996494,0.00666187843052723,0.0162261466544898,0.0184749020233503,0.0147640229233005,0.0181025309330034,0.0177135425925596,0.0139642417566823,0.0127738942227243,0.020114024035589,0.0157881838453418,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Bahrain,BHR,0.00122025279605778,0.000454059053958065,0.000630826788597658,0.00100838749459006,0.00100159969777559,0.000755964322955169,0.000857709891240611,0.00041291447539682,0.000551133237039884,0.000573801496185948,..,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Bangladesh,BGD,0.413943440158583,0.194678442827826,0.192264734668952,0.180660591909754,0.196703062236174,0.172691441465432,0.132523511177646,0.067921183417931,0.0686746359283748,0.0769425851638829,0.0714250353793543,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Barbados,BRB,0.00286040579359261,0.00488559963616694,0.0149497344578222,0.0145223834283136,0.0146799361406761,0.0151275838690637,0.014887687439039,0.0143398625837631,0.0116215952671704,0.0142087225823369,0.0120661911332472,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Belarus,BLR,..,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Belgium,BEL,0.0429939763433374,0.0239743188830179,0.0141359055223198,0.0128936547821888,0.0110375471450875,0.0106821305442346,0.00945013640173785,0.0106170479606182,0.00831720276999125,0.00755260063873501,0.00743966104464943,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Belize,BLZ,0.581327849276406,0.214603191571741,0.386493300392703,0.411666055631662,0.341876729421136,0.401990927359473,0.376504378115214,0.312559751747995,0.263561058428192,0.351978411645354,0.248890207067284,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Benin,BEN,6.51627052546301,3.27238422542651,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Bhutan,BTN,6.60075459321727,3.85700725097858,3.25257259505823,3.24470094441741,3.82570824626286,4.30944636535969,3.25428079429294,1.89454487189687,2.06288144851902,2.62675266000296,2.55008026319621,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Bolivia,BOL,0,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Bosnia and Herzegovina,BIH,..,0.967524779192814,5.4947026460034E-05,0.0367915892635576,0.1336939476342,0.087308861362863,0.0146336160270701,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Botswana,BWA,0.487775361486456,0.32333381533035,0.402103615477613,0.40143646204445,0.465455656013649,0.463315684421209,0.44137049214291,0.325854622134192,0.290824014792928,0.335191980296391,0.312892462524448,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Brunei Darussalam,BRN,0.0971610424871548,0.0698944569976741,0.0544310448081514,0.066559924857015,0.0514128024967561,0.0506140537518276,0.0533971713325917,0.0624168212548957,0.0631989471006005,0.0552236643469844,0.048553704286819,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Burundi,BDI,13.5474582862385,14.8175188627236,17.5030228811105,17.2408236494408,15.3897951880207,18.9467164708775,18.2275741263011,13.4033433708258,13.089765712209,13.7719540219161,13.9163419337296,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Cabo Verde,CPV,0.319512617950579,0.235535649555443,0.374660906933174,0.425381534618515,0.522042382192953,0.523275146676202,0.461009361398467,0.25804265021878,0.253021900993647,0.326141633944578,0.302055747087689,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Cambodia,KHM,..,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Cameroon,CMR,3.36832300140761,2.82173656569501,3.13304325078326,3.21717823541838,3.63405897321609,3.74377651996858,3.81933537021534,3.01941663403929,2.69981932965672,2.75999948010778,2.63967847889126,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0,..
