Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Income share held by lowest 20%,SI.DST.FRST.20,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Albania,ALB,..,..,..,7,7.7,7.3,7.6,7.9,8.5,8.4,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Angola,AGO,..,3.2,..,..,..,..,..,3.8,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Argentina,ARG,..,3.2,5,5.1,..,4.9,5.1,5,4.7,4.8,5.1,..
Income share held by lowest 20%,SI.DST.FRST.20,Armenia,ARM,..,..,8.6,8.4,8.2,7.9,8.4,8.1,8.9,10.2,9.4,..
Income share held by lowest 20%,SI.DST.FRST.20,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Australia,AUS,..,..,..,7.4,..,7.4,..,7.3,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Austria,AUT,..,8.7,8.1,8,7.9,7.7,8,7.9,7.9,7.9,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Bangladesh,BGD,..,8.6,..,..,..,8.6,..,..,..,..,..,8.6
Income share held by lowest 20%,SI.DST.FRST.20,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Belarus,BLR,..,7.9,9.5,9.3,9.7,9.9,9.9,10.1,10,10.3,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Belgium,BEL,..,8.4,8.6,8.6,8.6,8.6,8.7,8.9,9,9.4,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Benin,BEN,..,..,..,..,3.2,..,..,7,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Bhutan,BTN,..,..,..,..,..,..,6.7,..,..,..,..,8.8
Income share held by lowest 20%,SI.DST.FRST.20,Bolivia,BOL,..,1.1,3.6,3.8,3.9,3.7,3.9,4.5,5.1,4.7,5.3,..
Income share held by lowest 20%,SI.DST.FRST.20,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Botswana,BWA,..,..,..,..,3.9,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Brazil,BRA,2.3,..,3.5,3.6,3.6,3.3,3.2,3.1,3.1,4.5,3.3,..
Income share held by lowest 20%,SI.DST.FRST.20,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Bulgaria,BGR,..,..,5.7,6,5.3,5.4,5.7,5.7,5.7,6.1,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Burkina Faso,BFA,..,..,..,8.3,..,..,..,6.3,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Burundi,BDI,..,..,6.9,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Cabo Verde,CPV,..,..,..,..,5.7,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Cameroon,CMR,..,..,..,4.5,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Canada,CAN,7.3,7.1,6.7,7.1,6.9,7.3,7.1,7.4,7.6,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,5.6,..
Income share held by lowest 20%,SI.DST.FRST.20,Chad,TCD,..,..,..,..,..,..,..,7.1,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Chile,CHL,3.4,3.8,5.5,..,5.7,..,5.8,..,..,5.5,..,..
Income share held by lowest 20%,SI.DST.FRST.20,China,CHN,8.3,..,6.2,6.2,6.4,6.5,6.4,6.5,6.7,7.2,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Colombia,COL,..,1.9,3.5,3.6,3.8,3.9,4.1,4,3.7,3.1,3.6,..
Income share held by lowest 20%,SI.DST.FRST.20,Comoros,COM,..,..,..,4.5,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Costa Rica,CRI,3.8,3.9,4.1,4.2,4.3,4.2,4.4,4.3,4.4,4,4.3,4.5
Income share held by lowest 20%,SI.DST.FRST.20,Cote d'Ivoire,CIV,..,..,..,..,5.7,..,..,7,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Croatia,HRV,..,..,7.1,7.1,7.3,7.3,7.4,7.8,8,7.9,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Cyprus,CYP,..,..,7.7,7.6,7.8,8.2,8.4,8.4,8.5,8.5,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Czechia,CZE,..,..,9.4,9.7,9.7,10,10.2,10.2,10.1,9.8,..,..
Income share held by lowest 20%,SI.DST.FRST.20,Denmark,DNK,..,10.4,9.1,9.1,9.4,9.2,9.1,9.3,9.5,9.4,..,..
