Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Afghanistan,AFG,..,1.64,2.46,2.25,2.37,2.24,2.3,2.44,2.41,2.57,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Albania,ALB,..,4.13,2.96,2.93,2.69,2.68,2.7,2.59,2.51,2.41,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Algeria,DZA,..,4.18,4.76,5,5.05,4.85,4.93,5.2,5.32,5.32,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Angola,AGO,..,3.69,2.61,3.28,2.86,2.61,2.51,3.01,2.92,2.7,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Antigua and Barbuda,ATG,..,3.67,4.86,4.77,4.69,4.57,4.47,4.29,4.24,5.13,4.94,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Argentina,ARG,..,3.69,3.31,3.4,3.36,3.41,3.32,3.31,3.35,3.46,3.38,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Armenia,ARM,..,6.79,3.92,4.11,4.12,3.93,3.86,3.51,3.53,4.02,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Aruba,ABW,..,16.15,3.33,3.39,3.35,3.23,3.09,3.03,3.15,4.06,3.63,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Australia,AUS,..,6.18,4.93,4.79,4.68,4.54,4.5,4.4,4.33,4.39,4.28,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Austria,AUT,..,3.22,3.1,2.97,3.01,2.98,2.97,2.82,2.82,2.85,2.88,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Azerbaijan,AZE,..,14.7,4.28,4.3,4.26,4.35,4.37,4.32,4.61,4.7,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,"Bahamas, The",BHS,..,2.33,2.25,2.33,2.42,2.4,2.62,2.49,2.49,2.89,2.75,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Bahrain,BHR,..,10.43,9.54,8.77,9.05,8.62,8.33,8.24,8.68,9.47,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Bangladesh,BGD,..,2.61,2.37,2.31,2.32,2.34,2.27,2.16,2.07,2.01,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Barbados,BRB,..,5.92,5.8,5.28,5.12,5.02,4.82,4.94,5.03,4.38,4.43,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Belarus,BLR,..,12.85,6.39,6.4,6.07,6.18,6.14,6.29,5.97,5.83,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Belgium,BEL,..,5.51,4.35,4.04,3.95,4.12,4.04,3.82,3.85,3.74,3.89,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Belize,BLZ,..,6.82,5.11,4.95,5.89,5.84,5.96,5.78,6.21,6.55,6.04,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Benin,BEN,..,4.88,5.71,5.54,5.79,6.22,6.11,6.05,5.69,5.77,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Bermuda,BMU,..,1.52,1.52,1.95,1.59,1.83,1.79,1.96,1.69,1.41,1.47,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Bhutan,BTN,..,18.42,9.41,9.32,8.7,8.3,8.06,8.37,8.2,8.29,8.89,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Bolivia,BOL,..,3.38,3.99,4.16,3.98,4.03,4.03,3.94,3.87,3.55,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Bosnia and Herzegovina,BIH,..,6.38,6.51,5.98,5.97,6.33,6.12,6.54,6.15,6.24,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Botswana,BWA,..,4.3,3.2,3.35,3.53,3.16,3.17,3.26,2.92,2.88,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Brazil,BRA,..,3.88,3.88,3.98,4.05,4.03,4.05,3.93,3.94,4.01,4.01,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Brunei Darussalam,BRN,..,4.34,4.72,5.66,4.34,4.91,5.87,5.85,6.35,6.05,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Bulgaria,BGR,..,9.08,5.13,5.34,5.38,5.09,5.12,4.98,4.73,4.71,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Burkina Faso,BFA,..,5.49,5.04,4.91,4.94,4.76,4.72,4.6,4.5,4.43,4.14,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Burundi,BDI,..,10.37,7.42,7.08,7.38,7.56,7.62,7.71,7.62,7.75,7.59,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Cabo Verde,CPV,..,3.28,2.7,2.65,2.64,2.51,2.47,2.5,2.42,2.64,2.52,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Cambodia,KHM,..,7.91,4.47,4.5,4.58,4.74,4.59,4.58,4.85,5.09,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Cameroon,CMR,..,6,4.52,4.63,4.62,4.51,4.39,4.33,4.24,4.35,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Canada,CAN,..,9.31,6.97,6.95,6.86,7.09,7.17,7.08,6.97,6.78,6.63,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Cayman Islands,CYM,..,1.91,1.95,1.94,1.93,1.84,1.87,1.9,2.06,2.03,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Central African Republic,CAF,..,7.73,9.3,9.55,9.4,9.12,8.8,8.56,8.38,8.4,8.46,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Chad,TCD,..,8.21,3.91,3.72,3.68,3.95,4.1,4.09,3.99,4.11,4.17,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Chile,CHL,..,4.45,3.84,3.4,3.4,3.56,3.56,3.49,3.66,3.58,3.18,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,China,CHN,..,10.89,8.05,7.69,7.21,6.71,6.51,6.39,6.31,6.37,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Colombia,COL,..,3.02,2.68,2.6,2.56,2.6,2.45,2.31,2.44,2.46,2.2,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Comoros,COM,..,2.66,2.72,2.58,2.66,2.79,3.06,3.11,3.19,3.57,4.3,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,"Congo, Dem. Rep.",COD,..,16.45,16.51,15.83,14.89,14.91,14.45,13.82,13.45,13.43,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,"Congo, Rep.",COG,..,2.16,4.57,4.24,4.62,5.39,5.65,6.12,6.63,7.09,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Costa Rica,CRI,..,2.41,2.42,2.37,2.23,2.11,1.99,1.91,1.97,1.97,1.93,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Cote d'Ivoire,CIV,..,4.18,5.11,4.71,3.96,3.88,3.72,3.48,3.32,3.43,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Croatia,HRV,..,4.28,3.45,3.29,3.35,3.27,3.26,3.08,3.01,3.15,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Cuba,CUB,..,3.46,1.6,1.61,1.57,1.54,1.45,1.35,1.27,1.51,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Curacao,CUW,..,23.03,21.5,24.18,24.81,21.48,18.05,16.42,9.93,9.9,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Cyprus,CYP,..,3.93,2.84,2.96,2.93,2.94,2.86,2.71,2.59,2.57,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Czechia,CZE,..,6.74,5.11,4.85,4.61,4.44,4.41,4.28,4.09,4.08,4.16,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Denmark,DNK,..,2.99,2.5,2.32,2.25,2.24,2.19,2.14,2.01,1.96,2.07,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Djibouti,DJI,..,6.03,2.98,2.49,2.42,2.22,2.16,2.18,2.08,1.88,1.86,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Dominica,DMA,..,2.47,2.91,2.93,3.14,3.02,2.9,2.95,2.92,3.19,3.03,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Dominican Republic,DOM,..,3.9,2.36,2.19,2.21,2.21,2.09,2.06,2,1.9,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Ecuador,ECU,..,3.27,3.21,3.38,3.26,3.16,3.18,3.1,3.27,3.12,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,"Egypt, Arab Rep.",EGY,..,3.27,3.62,3.63,3.45,3.64,3.66,3.44,3.26,3,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,El Salvador,SLV,..,3.45,3.43,3.33,3.39,3.38,3.25,3.27,3.38,3.38,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Equatorial Guinea,GNQ,..,1.57,3.48,3.24,3.3,4.08,4.73,3.75,3.03,3.65,4.17,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Estonia,EST,..,7.98,6.29,5.8,4.93,5.98,5.5,5.1,4.1,3.99,4.15,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Eswatini,SWZ,..,6.23,5.39,4.74,4.99,5.28,4.44,4.5,4.66,4.69,4.29,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Ethiopia,ETH,..,21.38,10.51,9.95,9.22,8.73,8.2,7.92,7.49,7.21,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Fiji,FJI,..,2.75,2.19,2.33,2.3,2.01,2.15,2.12,2.15,1.99,2.21,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Finland,FIN,..,6.57,5.67,5.81,5.5,5.55,5.34,5.37,5.19,5.07,5.12,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,France,FRA,..,4.36,3.83,3.65,3.66,3.56,3.47,3.39,3.28,3.2,3.23,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,French Polynesia,PYF,..,2.26,2.7,2.6,2.57,2.62,2.55,2.52,2.48,2.6,2.49,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Gabon,GAB,..,3.03,7.97,7.43,7.22,7.1,6.71,6.54,6.13,6.42,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,"Gambia, The",GMB,..,3.13,3.01,3.34,3.48,3.45,3.29,3.24,3.24,3.21,3.12,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Georgia,GEO,..,5.99,3.99,4.08,4.18,4.2,4.04,3.82,3.83,3.98,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Germany,DEU,..,3.99,3.34,3.12,3.09,3.04,2.97,2.86,2.77,2.73,2.74,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Ghana,GHA,..,4.89,2.93,2.89,2.95,2.87,2.63,2.8,2.78,2.97,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Greece,GRC,..,3.61,3.21,3.17,3.18,3.13,3.14,3,2.9,2.85,2.69,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Grenada,GRD,..,2.45,3.18,2.36,2.44,2.4,2.38,2.53,2.71,2.71,2.77,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Guatemala,GTM,..,4,4.09,4.09,4.16,4.37,4.24,4.25,4.24,4.23,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Guinea,GIN,..,9.11,6.49,6.35,6.37,5.91,5.66,5.29,5.37,5.39,5.28,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Guinea-Bissau,GNB,..,10.99,9.82,9.93,9.55,9.18,8.76,8.78,8.43,8.71,8.41,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Guyana,GUY,..,5.84,4.01,4.01,4,4.17,3.96,3.9,3.95,2.65,2.16,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Haiti,HTI,..,5.13,5.59,5.38,5.31,5.4,5.37,5.47,5.48,5.31,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Honduras,HND,..,4.65,4.99,4.94,5.17,5,4.1,4.2,4.35,4.4,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,"Hong Kong SAR, China",HKG,..,2.45,1.45,1.41,1.49,1.5,1.31,1.31,1.32,1.26,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Hungary,HUN,..,5.28,3.99,3.82,3.89,3.86,3.86,3.66,3.51,3.62,3.52,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Iceland,ISL,..,11.18,15.2,14.89,13.58,12.05,12.18,12.73,12.26,12.89,12.48,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,India,IND,..,6.42,5.11,5.08,4.82,4.54,4.46,4.4,4.25,4.28,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Indonesia,IDN,..,5.42,3.5,3.48,3.26,3.18,3.17,3.24,3.19,3.12,..,..
