Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Net migration,SM.POP.NETM,Africa Eastern and Southern,AFE,22815,-564510,-139726,-139714,-139648,-139565,-139482,-139413,-139371,-139366,-139366,-139366
Net migration,SM.POP.NETM,Africa Western and Central,AFW,-529414,-22651,-172819,-172795,-172771,-172746,-172720,-172699,-172687,-172685,-172685,-172685
Net migration,SM.POP.NETM,Arab World,ARB,-2012275,-4273,-122096,-122096,-122096,-122096,-122096,-122096,-122096,-122096,-122096,-122096
Net migration,SM.POP.NETM,Caribbean small states,CSS,-73598,-38012,-15599,-15599,-15599,-15599,-15599,-15599,-15599,-15599,-15599,-15599
Net migration,SM.POP.NETM,Central Europe and the Baltics,CEB,-132482,123701,2212,2212,2212,2212,2212,2212,2212,2212,2212,2212
Net migration,SM.POP.NETM,Early-demographic dividend,EAR,1283931,-1113011,-1567892,-1566245,-1565030,-1563726,-1562429,-1560837,-1560195,-1560105,-1560105,-1560105
Net migration,SM.POP.NETM,East Asia & Pacific,EAS,78472,-512945,-176130,-176286,-176377,-176501,-176645,-176518,-176600,-176612,-176612,-176612
Net migration,SM.POP.NETM,East Asia & Pacific (excluding high income),EAP,-229630,-721102,-534407,-534581,-534689,-534833,-534997,-534887,-534979,-534992,-534992,-534992
Net migration,SM.POP.NETM,East Asia & Pacific (IDA & IBRD countries),TEA,-229559,-718186,-532547,-532721,-532829,-532973,-533137,-533027,-533119,-533132,-533132,-533132
Net migration,SM.POP.NETM,Euro area,EMU,592953,552337,445533,445185,444969,444681,444353,444573,444389,444363,444363,444363
Net migration,SM.POP.NETM,Europe & Central Asia,ECS,353755,778557,688714,688407,688232,687998,687729,688001,687849,687827,687827,687827
Net migration,SM.POP.NETM,Europe & Central Asia (excluding high income),ECA,-252265,-203529,-59910,-59869,-59828,-59774,-59715,-59663,-59631,-59627,-59627,-59627
Net migration,SM.POP.NETM,Europe & Central Asia (IDA & IBRD countries),TEC,-339957,-30525,-79909,-79868,-79827,-79773,-79714,-79662,-79630,-79626,-79626,-79626
Net migration,SM.POP.NETM,European Union,EUU,516313,773989,508742,508394,508178,507890,507562,507782,507598,507572,507572,507572
Net migration,SM.POP.NETM,Fragile and conflict affected situations,FCS,-1527207,-1462769,-430079,-429103,-428182,-427070,-425917,-424933,-424337,-424253,-424253,-424253
Net migration,SM.POP.NETM,Heavily indebted poor countries (HIPC),HPC,-1673421,-1651682,-385948,-385467,-384886,-384171,-383438,-382820,-382448,-382395,-382395,-382395
Net migration,SM.POP.NETM,High income,HIC,1583243,3033492,2458910,2457042,2455469,2453730,2452000,2449791,2448934,2448814,2448814,2448814
Net migration,SM.POP.NETM,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,IDA & IBRD total,IBT,-1708073,-2836486,-2457080,-2456737,-2456370,-2455814,-2455177,-2453834,-2453475,-2453424,-2453424,-2453424
Net migration,SM.POP.NETM,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,Late-demographic dividend,LTE,-1633001,-252503,-413456,-414405,-415237,-416037,-416752,-417050,-417364,-417407,-417407,-417407
Net migration,SM.POP.NETM,Latin America & Caribbean,LCN,-635393,-933168,-200101,-199195,-198729,-198102,-197361,-196432,-196006,-195945,-195945,-195945
Net migration,SM.POP.NETM,Latin America & Caribbean (excluding high income),LAC,-580828,-887172,-189506,-188002,-186852,-185597,-184339,-183037,-182411,-182323,-182323,-182323
Net migration,SM.POP.NETM,Latin America & the Caribbean (IDA & IBRD countries),TLA,-610598,-884758,-190573,-189999,-189578,-188948,-188204,-187272,-186844,-186783,-186783,-186783
