Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..
