Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Post-demographic dividend,PST,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,South Asia,SAS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Upper middle income,UMC,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Afghanistan,AFG,109134.5,185206,350468,366348.5,378350,387238.5,398597,410387,422572,436318.5,447710,455985.5
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Albania,ALB,31524,30225.5,26363,25301.5,24030.5,22676.5,22149.5,21468,19474,18720,18523.5,18082.5
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Algeria,DZA,265711,361883,324764,312548,301683.5,286876,276503,276818,278764,281961,290258,303302.5
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,American Samoa,ASM,459.5,466.5,562,524,483.5,452.5,425.5,401,380.5,362,343,332
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Andorra,AND,381.5,339.5,314,323,340.5,371.5,412,408,390.5,406,403,394.5
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Angola,AGO,112964,163806,257559,265703,274024,282616,292524.5,303781.5,316279,329441,342998,357522
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Antigua and Barbuda,ATG,582.5,646.5,749,755,742,707,669,694,703,663,643,629
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Argentina,ARG,273195.5,321797.5,348527,345406.5,341675,339838.5,341308.5,342237,340219.5,338629.5,337500,337407
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Armenia,ARM,29351.5,27972.5,22159.5,20415,19189.5,17975,16877,15917.5,15199,14993.5,15203,15656.5
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Aruba,ABW,364,588.5,699,670.5,635,605.5,588,594,619,649,679,695
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Australia,AUS,142363.5,128366,145635.5,145729,145533,145844,147119.5,148710,147490,145078,144784,146042.5
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Austria,AUT,53241.5,48812,47140,46731,46359.5,45020.5,43599.5,43035,42473,42308,42357,42332
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Azerbaijan,AZE,67352.5,78068,82496,77646.5,72411,68219,65704,63674.5,61636.5,60734,61634,63773
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,"Bahamas, The",BHS,2836,2775.5,3428.5,3413,3420.5,3423,3411,3414.5,3430.5,3414.5,3378,3342.5
"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN,Bahrain,BHR,3673.5,5831,6893,6957.5,7177,7251.5,7224.5,7284.5,7277.5,7126.5,7320,8067.5
