Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,45.967,55.298,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,73.144,75.404,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,67.416,70.478,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,41.893,46.024,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,61.643,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,73.492,74.606,77.583,77.858,77.913,78.152,78.268,78.511,78.691,78.841,78.497,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,71.784,73.926,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,68.821,70.624,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173,72.043,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,73.076,73.569,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723,74.626,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,76.9946341463415,79.2341463414634,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,75.5682926829269,78.1268292682927,81.1365853658537,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.2390243902439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,62.352,64.891,70.881,71.116,71.451,72.004,72.248,72.76,73.102,66.868,69.366,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,70.133,72.041,73.024,73.366,73.104,73.537,73.632,73.806,71.205,72.677,71.598,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,72.668,75.496,79.246,79.328,79.405,79.557,79.689,79.857,80.019,79.174,78.76,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,55.989,65.779,69.565,69.986,70.491,71.09,71.788,72.567,72.806,71.968,72.381,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,72.752,74.089,76.275,76.476,76.65,76.815,76.936,77.067,77.257,77.393,77.571,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,70.8365853658537,68.9121951219512,72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927,74.1292682926829,74.1756097560976,74.2268292682927,72.4572195121951,72.3706829268293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,76.0519512195122,77.7219512195122,80.5878048780488,81.2878048780488,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195,81.9951219512195,80.6951219512195,81.890243902439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,70.744,68.564,73.666,73.311,73.187,73.399,73.562,73.703,73.931,72.854,70.47,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,53.292,56.578,58.965,59.125,59.377,59.539,59.856,60.14,60.454,60.088,59.821,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,74.5,78.858,79.992,79.518,80.918,80.608,82.351,80.825,81.033,81.136,79.28,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,55.968,62.01,69.707,70.049,70.343,70.602,70.847,71.129,71.391,71.609,71.815,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,56.422,62.346,67.021,67.163,67.318,67.628,67.701,67.748,67.841,64.467,63.63,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,72.349,74.496,76.33,75.659,76.182,76.808,76.935,77.093,77.241,76.225,75.3,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,60.533,51.011,61.996,62.608,63.818,65.464,66.753,65.422,65.464,65.647,61.141,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,65.985,69.737,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009,72.75,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,73.927,73.966,75.574,75.612,75.675,75.724,74.785,75.831,75.863,75.849,74.494,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,71.656,74.08,74.799,74.779,74.75,74.733,74.722,74.712,74.748,74.795,74.642,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,71.6414634146342,71.6634146341463,74.8609756097561,74.4658536585366,74.6146341463415,74.8121951219512,74.8146341463415,74.9634146341464,75.1121951219512,73.6585365853659,71.5146341463415,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,49.44,50.847,57.823,58.359,58.845,59.326,59.536,60.047,60.039,59.731,59.27,..
