Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,5.20619229940432,3.81622575249209,3.49335098476591,3.47680495236086,3.4701264894601,3.46973649137956,3.47166577488365,3.47000274047765,3.46134725492065,3.4428286571089,3.41329945493743,3.3738396858853
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2.86552238374029,2.4369899227298,2.24352743005131,2.22076892978088,2.19809787381095,2.17501934074737,2.15196029864151,2.12961747379656,2.10782668455336,2.08722106119627,2.06847654861545,2.05081802082267
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,1.93106007004559,1.31771269641888,1.34193833628945,1.38119251837344,1.4663722710865,1.49055430279579,1.46532450184817,1.39614722327403,1.41572508466985,1.38789034236852,1.43531089786844,1.4540667793522
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Early-demographic dividend,EAR,4.22047830206801,3.32500310374616,2.96140798479923,2.91025495946309,2.8607352128549,2.81101753505264,2.76314043873578,2.71758049956312,2.67580817368871,2.63851422830948,2.60317195913314,2.56938618641774
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific,EAS,2.49781802187968,1.78884569679007,1.79239439542707,1.79689409330434,1.79641994065133,1.79570060569276,1.79706513379161,1.79965908979429,1.80500169704656,1.80042915724106,1.80252087048497,1.80577847313536
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific (excluding high income),EAP,2.61709078312961,1.82750844314991,1.84471001115501,1.84413375523792,1.84329719313386,1.84378231555425,1.84386873511187,1.84383537726736,1.84444745148346,1.84494387573202,1.84594826551472,1.84718166346125
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific (IDA & IBRD),TEA,2.62160239222351,1.82553293165939,1.84276727749032,1.84221804301685,1.8414426554608,1.84202526947502,1.84220999132328,1.84230540063341,1.84305125965116,1.84369246013773,1.84485125498087,1.846246276794
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Euro area,EMU,1.53415775973448,1.47030490035382,1.52264944539053,1.53983693639275,1.58033271915854,1.56373251114987,1.57978805029377,1.56149808312354,1.55384621925896,1.53024597520931,1.55419794480299,1.55105802510198
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Europe & Central Asia,ECS,1.95799754402768,1.55591635363687,1.61888366626525,1.66371990926566,1.72189352257896,1.72069326617512,1.7277583326566,1.71278517828253,1.73833035642388,1.72767891597687,1.75378025026693,1.75455043703266
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Europe & Central Asia (excluding high income),ECA,2.34230001782635,1.64087472006308,1.70241476273797,1.77056440816347,1.84236514269961,1.85306383532382,1.8502993363753,1.84688197121407,1.90079264883774,1.91388484829506,1.94668148703661,1.95133186293537
